"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP72,TP16,TP15,TP14,TP13,TP12,TP11,TP10,TP1";"TestPoint_Pad_D1.0mm";9;"TestPoint";;;
2;"F1";"Fuse_1206_3216Metric";1;"MF-NSMF110";;;
3;"G***";"idaho";1;"LOGO";;;
4;"G***";"croptoplogo";1;"LOGO";;;
5;"H1,H2,H3,H4";"MountingHole_3mm_Pad_Via";4;"3mm";;;
6;"D15,D5";"D_SOD-323";2;"NSR0240HT1G";;;
7;"C34,C16,C17,C73";"CP_Elec_6.3x7.7";4;"100u";;;
8;"U9";"QFN-56-1EP_8x8mm_P0.5mm_EP4.5x5.2mm";1;"FT812Q";;;
9;"J16";"microSD_HC_Hirose_DM3D-SF";1;"DM3D-SF";;;
10;"C1,C10,C12,C18,C19,C20,C21,C24,C25,C26,C28,C30,C31,C32,C43,C45,C46,C47,C48,C51,C52,C56,C58,C61,C62,C78,C79,C80,C82,C83,C84,C85,C66,C72,C89";"C_1206_3216Metric";35;"10u";;;
11;"C2,C3,C5,C6,C7,C8,C9,C14,C15,C22,C23,C27,C29,C33,C35,C36,C37,C39,C41,C42,C44,C49,C50,C53,C54,C55,C57,C59,C60,C63,C64,C65,C69,C74,C76,C77,C81,C86,C88,C87,C75";"C_0402_1005Metric";41;"0.1u";;;
12;"C11,C13,C38,C40";"C_0402_1005Metric";4;"27p";;;
13;"C68,C70,C71";"C_0805_2012Metric";3;"0.1u";;;
14;"D1,D4,D7,D8,D9,D22,D23,D24";"LED_0603_1608Metric";8;"LTSTC190KGKT";;;
15;"D2";"LED_0603_1608Metric";1;"LTSTC190KRKT";;;
16;"D3,D6,D11,D12,D13,D14,D16,D21";"D_0201_0603Metric";8;"TPD1E6B06";;;
17;"D10,D17,D18,D19,D20";"SOT-323_SC-70";5;"TPD2E007";;;
18;"J1";"PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Right";1;"TSM-106-01-L-SV";;;
19;"J2";"USB_Micro-B_Molex_47346-0001";1;"0473460001";;;
20;"J3";"87583-2010BLF";1;"87583-2010BLF";;;
21;"J4";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"TSM-102-01-L-DV";;;
22;"J6";"Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal";1;"62684-402100ALF";;;
23;"J7,J8,J9,J10,J11,J12,J13,J14";"solderless_terminal";8;"1702474";;;
24;"J15";"PinHeader_2x12_P2.54mm_Vertical_SMD";1;"TSM-112-01-L-DV";;;
25;"JP1";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";1;"Solder Jumper";;;
26;"L1,L4,L10";"L_0402_1005Metric";3;"BKP1005HS121";;;
27;"L2";"L_Bourns_SRN6045TA";1;"4.7u";;;
28;"L3";"L_Bourns_SRN6045TA";1;"2.2u";;;
29;"L5,L7,L8,L9,L6";"L_0402_1005Metric";5;"BLM15HD102SN1D";;;
30;"Q1,Q4,Q5,Q6";"SOT-23";4;"BSS138";;;
31;"Q2";"SOT-23";1;"BSS84";;;
32;"Q3";"SOT-23";1;"Q2319ADS-T1-GE3";;;
33;"R1,R4,R5,R6,R7,R8,R9,R10,R12,R13,R20,R21,R61,R62,R76,R77,R78,R81,R85,R99,R115,R117,R120,R123,R125,R126,R127,R128,R129,R130,R63,R88";"R_0402_1005Metric";32;"10k";;;
34;"R2,R3,R19,R70,R71,R72,R73,R74,R75,R116,R118,R119,R121,R122,R124";"R_0402_1005Metric";15;"100";;;
35;"R11,R15,R16,R17,R18,R65,R66,R67,R68,R69,R90,R91,R92,R93,R94,R95,R96,R97,R98,R100,R101,R104,R107,R108,R109,R110,R111,R112,R113,R114,R64,R89";"R_0402_1005Metric";32;"220";;;
36;"R14";"R_0402_1005Metric";1;"1.1";;;
37;"R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R79,R80,R102,R103,R105,R106";"R_0402_1005Metric";45;"22";;;
38;"R83,R82,R86,R87";"R_2512_6332Metric";4;"0.2";;;
39;"SW1,SW2,SW3,SW4";"SW_SPST_PTS645";4;"SW_Push";;;
40;"U2";"SOT-23-6";1;"REG71055DDC";;;
41;"U3,U19,U21,U23,U29,U32,U33,U36";"SOT-23-5";8;"AP22802AW5";;;
42;"U4";"SOT-353_SC-70-5";1;"TPS61169DCK";;;
43;"U5";"QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm";1;"TPS62131RGT";;;
44;"U6";"SOT-23-5";1;"TPS70950DBV";;;
45;"U7,U8,U10,U11,U12,U13,U14,U15,U16,U17,U22,U24,U25,U26,U30,U31,U34,U35,U37,U38";"SOT-23-6";20;"TPD4E1U06DBV";;;
46;"U18";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HCT125D653";;;
47;"U20";"TSSOP-16_4.4x5mm_P0.65mm";1;"AD7799";;;
48;"U27";"8-PowerSOIC";1;"DRV8872";;;
49;"U28";"HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_Mask2.4x6.17mm_ThermalVias";1;"DRV8825";;;
50;"U39";"LISDR";1;"LIS3DSHTR";;;
51;"U40";"GPS";1;"CAM-M8C-0";;;
52;"U41";"SI7006";1;"Si7006-A20";;;
53;"Y1";"ABLS_OX";1;"ABLS-8.000MHZ-B4-T";;;
54;"Y2";"ABLS_OX";1;"ABLS-12.000MHZ-B2-T";;;
55;"J5";"TE_84952-4_1x04-1MP_P1.0mm_Horizontal";1;"686104183422";;;
56;"U1";"TQFP-100_12x12mm_P0.4mm";1;"PIC32MX795F512L";;;
57;"C67";"C_0402_1005Metric";1;"0.01u";;;
58;"R84";"R_0402_1005Metric";1;"1M";;;
59;"C4,C90";"C_0402_1005Metric";2;"12.5p";;;
60;"Y3";"ABLS_SEC";1;"ABS07-32.768KHZ-1-T";;;
